X_filename,relevant_decay_count
03695427_0000133203,0
03695500_0000209984,0
03695406_0000111117,1
03695778_0000503423,0
03695715_0000437051,1
03695439_0000145845,1
03695780_0000505816,0
03695722_0000444327,0
03695455_0000162936,1
03695509_0000219816,1
03695562_0000275451,1
03695455_0000162633,0
03695500_0000209990,2
03695455_0000162696,0
03695490_0000199468,0
03695461_0000169303,0
03695406_0000111000,1
03695701_0000422288,1
03695422_0000127851,0
03695844_0000572957,0
03695606_0000322097,1
03695475_0000183912,0
03695490_0000199731,1
03695526_0000237542,2
03695761_0000485336,0
03695488_0000197342,1
03695422_0000128093,1
03695989_0000726181,1
03695795_0000521499,0
03695547_0000259620,0
03695722_0000444564,1
03696086_0000828302,0
03695559_0000272561,1
03695475_0000183764,0
03695427_0000133483,1
03695422_0000127815,0
03696062_0000802922,0
03695406_0000111228,2
03695715_0000436822,0
03695423_0000129192,2
03695500_0000209982,1
03695798_0000524358,0
03695763_0000487853,0
03696100_0000843118,0
03695718_0000440226,1
03695903_0000635369,4
03695422_0000127803,0
03696036_0000775609,0
03695447_0000154259,1
03695526_0000237526,1
03695461_0000168984,0
03695464_0000172113,1
03695763_0000487723,0
03695737_0000460363,0
03695778_0000503623,2
03695402_0000106729,0
03695562_0000275628,0
03695725_0000447626,1
03695429_0000135079,0
03695491_0000200783,1
03695725_0000447699,1
03695711_0000432723,0
03695768_0000492792,2
03695763_0000487781,0
03695461_0000168865,0
03695724_0000446684,1
03695844_0000573129,1
03695416_0000121529,0
03695798_0000524488,0
03696036_0000775473,0
03695464_0000172316,0
03695701_0000422414,0
03695427_0000133140,0
03695475_0000183991,1
03695728_0000450633,1
03695903_0000635506,1
03695763_0000487495,0
03695509_0000219843,0
03695891_0000622789,0
03695701_0000422354,0
03695412_0000117277,0
03695477_0000186075,0
03695716_0000438151,0
03695447_0000154365,1
03695500_0000210291,1
03695706_0000427535,1
03695500_0000210300,0
03695429_0000135056,1
03695497_0000206869,1
03695491_0000200514,2
03695402_0000106734,1
03695562_0000275518,0
03695722_0000444531,0
03695728_0000450640,2
03695439_0000146178,0
03695509_0000219805,0
03695422_0000127780,0
03695491_0000200833,1
03695488_0000197310,3
03695416_0000121471,0
03695960_0000695408,1
03695423_0000129190,3
03695715_0000437105,1
03695706_0000427675,0
03695422_0000128106,0
03695989_0000725939,0
03695489_0000198676,1
03695497_0000207135,0
03695600_0000315617,1
03695716_0000438250,0
03695562_0000275553,0
03696090_0000832628,0
03695763_0000487704,2
03695891_0000622786,1
03695422_0000128145,1
03695893_0000624785,3
03695509_0000219454,0
03695716_0000438108,0
03695491_0000200956,3
03695891_0000622488,0
03695715_0000436801,0
03695562_0000275525,1
03695488_0000197807,0
03695711_0000432797,1
03695844_0000573179,1
03695903_0000635228,0
03695844_0000573197,0
03695488_0000197743,0
03695490_0000199689,1
03695768_0000492876,1
03695477_0000186163,1
03695903_0000635249,0
03695722_0000444329,2
03695464_0000172302,1
03695722_0000444528,1
03696090_0000832586,1
03695416_0000121597,0
03696100_0000842969,0
03695477_0000185887,1
03695422_0000127931,0
03695477_0000185936,1
03695402_0000106963,1
03695509_0000219673,0
03696062_0000802928,2
03695798_0000524621,0
03695737_0000460154,1
03695488_0000197388,0
03695423_0000128953,1
03695724_0000446598,2
03695509_0000219838,0
03695903_0000635349,2
03695728_0000450767,3
03695498_0000208127,1
03695422_0000128214,0
03695488_0000197680,0
03695706_0000427578,1
03695718_0000439982,2
03695712_0000433737,0
03695763_0000487762,2
03695475_0000183618,2
03695422_0000127677,2
03695406_0000111063,1
03695489_0000198472,2
03695768_0000492779,0
03695795_0000521174,1
03695490_0000199485,0
03695509_0000219491,1
03695475_0000183926,0
03695778_0000503271,0
03695509_0000219891,0
03696036_0000775709,0
03695559_0000272491,1
03695498_0000207893,3
03695491_0000200607,0
03695716_0000438104,2
03695893_0000624683,0
03695547_0000259846,0
03695491_0000200605,0
03695431_0000137525,0
03696062_0000803165,2
03695422_0000127791,0
03695763_0000487890,0
03695718_0000440281,1
03695891_0000622735,4
03696100_0000843198,2
03695427_0000133433,1
03695431_0000137546,0
03695454_0000161797,0
03695798_0000524442,2
03695497_0000207093,1
03695447_0000154458,2
03696086_0000828424,1
03695708_0000429436,0
03695498_0000207915,2
03696036_0000775475,3
03695781_0000506563,3
03695489_0000198542,0
03695431_0000137158,0
03695798_0000524368,0
03695737_0000460415,1
03695761_0000485313,0
03695722_0000444462,1
03695509_0000219678,0
03696062_0000802856,1
03695709_0000430564,3
03695854_0000583453,0
03695854_0000583666,1
03695804_0000530736,0
03695844_0000573071,0
03695854_0000583753,1
03695477_0000185827,2
03695454_0000161435,0
03695497_0000207142,0
03696100_0000842964,1
03695461_0000168905,1
03695497_0000207042,0
03695763_0000487674,1
03695488_0000197332,1
03695600_0000315811,0
03695429_0000135101,0
03695500_0000210422,0
03695715_0000436818,2
03695701_0000422098,0
03695447_0000154075,0
03695547_0000259893,0
03695488_0000197841,2
03695402_0000107062,0
03695422_0000128200,2
03695491_0000200495,0
03695795_0000521293,3
03695737_0000460272,3
03695489_0000198503,0
03695711_0000432739,1
03695724_0000446516,0
03695804_0000530844,0
03695406_0000111114,0
03695724_0000446712,2
03695562_0000275407,0
03695706_0000427713,2
03695422_0000127967,1
03695509_0000219754,2
03695491_0000200494,3
03695439_0000145785,0
03695439_0000145734,0
03695427_0000132988,0
03695722_0000444391,1
03695781_0000506668,1
03695903_0000635434,0
03695722_0000444245,0
03695804_0000530913,1
03695491_0000200871,0
03696086_0000828515,2
03695778_0000503589,0
03695491_0000200458,0
03696062_0000803154,0
03695711_0000432653,2
03695609_0000324959,0
03695509_0000219857,2
03695780_0000505678,1
03695500_0000210043,0
03695412_0000117274,2
03695477_0000186045,1
03695489_0000198595,1
03695722_0000444413,3
03695903_0000635114,0
03695600_0000315623,2
03695725_0000447441,0
03695402_0000106887,1
03695547_0000259703,0
03695461_0000169052,2
03696100_0000843165,0
03695780_0000505825,1
03695701_0000422438,1
03695724_0000446561,3
03695500_0000210332,4
03695406_0000110993,0
03695447_0000154457,1
03695559_0000272214,1
03695490_0000199595,3
03695406_0000111199,0
03696036_0000775581,0
03696090_0000832572,0
03695798_0000524364,0
03695724_0000446363,2
03695402_0000106784,0
03695701_0000422371,0
03695763_0000487424,0
03696062_0000803152,1
03695709_0000430879,0
03695477_0000186194,1
03695477_0000185983,0
03695429_0000135162,0
03695497_0000206831,1
03695737_0000460255,3
03695475_0000183745,0
03695715_0000436792,1
03695475_0000183715,3
03695489_0000198475,0
03695547_0000259827,1
03695488_0000197863,1
03695498_0000208065,0
03695778_0000503260,1
03695780_0000505447,0
03695778_0000503545,0
03695600_0000315568,0
03695526_0000237679,0
03695488_0000197560,1
03695712_0000433712,0
03695761_0000485596,1
03695439_0000145884,0
03696100_0000843092,2
03696036_0000775651,0
03695737_0000460413,0
03695477_0000186092,0
03695903_0000635405,0
03695893_0000624753,1
03695439_0000146071,1
03695429_0000135362,2
03695509_0000219872,0
03696090_0000832524,0
03696090_0000832512,1
03695716_0000438055,3
03696090_0000832485,0
03695477_0000185938,0
03695711_0000432835,1
03695455_0000162929,2
03695475_0000183842,1
03695731_0000453763,0
03695715_0000437089,0
03695455_0000162644,0
03695798_0000524372,1
03695422_0000127770,1
03695431_0000137610,1
03695464_0000172089,0
03695455_0000162713,0
03695724_0000446485,1
03695725_0000447587,2
03695718_0000439972,1
03695489_0000198763,1
03695464_0000172379,0
03695844_0000573063,0
03695718_0000440150,0
03695423_0000128926,0
03695715_0000436940,0
03695461_0000168942,1
03695559_0000272328,0
03695891_0000622639,0
03695609_0000324966,2
03695454_0000161892,2
03695422_0000127962,1
03695423_0000128715,1
03695737_0000460310,1
03695422_0000128085,1
03695559_0000272547,0
03695547_0000259725,1
03695547_0000259583,1
03695768_0000492881,2
03695497_0000206893,1
03695526_0000237813,1
03695412_0000117154,1
03696036_0000775476,2
03695708_0000429575,0
03695464_0000172077,0
03695737_0000460172,0
03695498_0000207995,0
03695455_0000162832,1
03695464_0000171973,3
03695447_0000154573,0
03695795_0000521308,0
03695489_0000198705,0
03695412_0000117359,0
03695412_0000117356,4
03695455_0000162530,0
03695547_0000259685,0
03695731_0000453906,0
03695731_0000453797,0
03695431_0000137608,1
03695439_0000145984,1
03695447_0000154297,0
03695562_0000275467,2
03695497_0000207095,1
03695711_0000432630,1
03695427_0000133490,2
03695804_0000530687,0
03695455_0000162624,3
03695709_0000430767,0
03695427_0000133012,0
03695431_0000137550,1
03695423_0000128957,0
03695712_0000433858,0
03695891_0000622660,1
03695763_0000487671,0
03695778_0000503571,1
03695497_0000207149,0
03695763_0000487732,1
03695559_0000272283,1
03695422_0000128192,1
03695761_0000485401,4
03695447_0000154292,1
03695609_0000324941,1
03695416_0000121462,1
03695455_0000162579,0
03695763_0000487813,0
03695423_0000128959,0
03695454_0000161850,1
03695844_0000572986,0
03695562_0000275419,0
03696086_0000828567,0
03695727_0000449587,2
03695439_0000145970,0
03695429_0000135559,1
03695706_0000427731,0
03695768_0000492960,0
03695763_0000487589,1
03695498_0000208204,0
03695711_0000432664,1
03695708_0000429618,0
03695416_0000121585,2
03696090_0000832396,2
03695711_0000432691,0
03695798_0000524555,1
03695489_0000198762,0
03695609_0000324995,0
03696100_0000843123,2
03695715_0000436946,1
03695488_0000197305,2
03695455_0000162675,1
03695461_0000169194,0
03695439_0000145753,0
03695447_0000154139,0
03696036_0000775676,4
03695461_0000169305,0
03695498_0000208070,0
03695965_0000700761,0
03695490_0000199704,1
03695562_0000275427,0
03695422_0000128099,0
03695509_0000219715,1
03695701_0000422044,1
03695989_0000725945,2
03695547_0000259556,1
03695711_0000432829,1
03695562_0000275395,2
03695989_0000726243,0
03695795_0000521487,0
03695488_0000197458,0
03695431_0000137638,1
03695447_0000154464,0
03695960_0000695307,2
03695778_0000503719,1
03695427_0000133177,2
03695402_0000106808,2
03695439_0000145698,3
03695475_0000183730,1
03695780_0000505668,1
03695475_0000183601,1
03695728_0000450572,0
03695497_0000206826,1
03695711_0000432819,0
03695718_0000439990,1
03695609_0000324978,1
03695763_0000487898,0
03695606_0000321858,1
03695804_0000530959,0
03695447_0000154559,3
03695412_0000117464,3
03695778_0000503684,2
03695423_0000128990,0
03695716_0000438120,3
03695491_0000200949,0
03695423_0000128773,0
03695795_0000521566,1
03695724_0000446375,0
03696090_0000832402,2
03695429_0000135326,0
03695447_0000154222,1
03696086_0000828427,0
03695491_0000200562,0
03695903_0000635263,0
03695526_0000237496,0
03695795_0000521402,0
03695547_0000259869,0
03696100_0000843228,1
03695464_0000172161,0
03695406_0000111129,0
03695718_0000440242,0
03695431_0000137682,0
03695489_0000198803,0
03695497_0000206879,0
03695804_0000530903,1
03695497_0000207117,0
03695780_0000505370,0
03695547_0000259585,2
03695737_0000460187,0
03695490_0000199563,0
03695844_0000572988,0
03695491_0000200958,0
03695562_0000275516,0
03695609_0000325065,1
03695711_0000432938,1
03695768_0000492828,0
03695559_0000272295,1
03695798_0000524733,0
03695439_0000145818,0
03695893_0000624774,1
03695500_0000209968,0
03695427_0000133275,3
03695402_0000106574,1
03695497_0000207274,1
03695477_0000186165,0
03695454_0000161707,0
03695731_0000453834,2
03695701_0000422192,1
03695509_0000219775,0
03695709_0000430766,0
03695429_0000135222,0
03695526_0000237822,0
03695712_0000433681,1
03695600_0000315476,0
03695724_0000446630,0
03695475_0000183785,1
03695606_0000321801,2
03696062_0000802869,0
03695423_0000128928,0
03696062_0000803037,1
03695431_0000137186,0
03695763_0000487778,1
03695464_0000172359,1
03696086_0000828464,0
03696100_0000843143,1
03695716_0000438007,1
03695737_0000460216,0
03695491_0000200985,0
03695461_0000169177,0
03695477_0000185982,1
03695402_0000107099,2
03695427_0000133359,2
03695844_0000572875,0
03695497_0000206947,0
03695559_0000272451,0
03695891_0000622561,0
03695475_0000183976,1
03695960_0000695479,0
03695761_0000485426,0
03695498_0000208169,0
03695728_0000450575,0
03695795_0000521424,0
03695491_0000200939,0
03695724_0000446326,2
03695454_0000161835,0
03695500_0000210109,1
03695989_0000725860,0
03695725_0000447644,0
03695724_0000446570,0
03695500_0000210023,1
03695423_0000129081,0
03695475_0000183781,3
03695844_0000573088,1
03695708_0000429495,1
03695498_0000208114,0
03695475_0000183632,1
03695891_0000622494,0
03695497_0000207011,0
03695960_0000695278,1
03695423_0000128832,1
03696090_0000832448,1
03695903_0000635478,0
03695497_0000207006,0
03695497_0000207009,0
03695989_0000726094,1
03696090_0000832589,0
03695439_0000145699,0
03695488_0000197666,0
03695422_0000128154,0
03695497_0000207353,0
03695711_0000432981,0
03695600_0000315482,2
03695701_0000422122,0
03695490_0000199759,1
03695423_0000128769,0
03695706_0000427428,1
03696090_0000832730,0
03695706_0000427515,1
03695609_0000325077,3
03695761_0000485614,1
03695854_0000583739,0
03695712_0000433739,1
03695731_0000453863,2
03695416_0000121556,1
03695412_0000117217,0
03695475_0000183920,0
03695447_0000154473,0
03695490_0000199586,0
03695491_0000200930,0
03695709_0000430632,1
03695708_0000429660,1
03696062_0000803246,0
03695489_0000198958,1
03695402_0000106911,1
03695854_0000583438,2
03695712_0000433848,0
03695725_0000447434,0
03695406_0000110973,1
03695491_0000200922,0
03695562_0000275462,0
03695402_0000106625,0
03696036_0000775540,0
03695447_0000154628,0
03695718_0000440153,0
03695429_0000135161,0
03695718_0000439988,1
03695989_0000725982,0
03695562_0000275703,2
03695427_0000133240,2
03695454_0000161570,1
03695402_0000106874,0
03695778_0000503647,1
03695903_0000635490,0
03695778_0000503339,2
03695489_0000198664,0
03695706_0000427425,0
03695562_0000275384,1
03695402_0000107010,2
03695960_0000695475,2
03695768_0000492839,0
03695454_0000161455,0
03696062_0000803197,0
03695547_0000259537,1
03695547_0000259705,2
03695781_0000506465,2
03696036_0000775814,0
03695778_0000503479,0
03695509_0000219730,1
03695903_0000635260,0
03695727_0000449536,1
03695439_0000146001,0
03695761_0000485304,0
03695712_0000434038,2
03695429_0000135240,0
03695416_0000121606,2
03695559_0000272192,0
03695960_0000695289,0
03695559_0000272494,0
03696062_0000803233,1
03695763_0000487787,1
03695412_0000117164,0
03695488_0000197461,0
03695725_0000447363,0
03695606_0000322005,0
03695701_0000422343,0
03695509_0000219667,1
03695497_0000207143,1
03695562_0000275410,2
03695716_0000438042,1
03695849_0000578157,1
03695489_0000198706,3
03695488_0000197537,3
03695891_0000622710,0
03696090_0000832403,1
03695447_0000154112,1
03695491_0000200863,3
03695804_0000530916,2
03695804_0000530784,0
03695844_0000573203,1
03695422_0000127661,0
03695606_0000322090,0
03695429_0000135430,0
03695431_0000137703,0
03695701_0000422332,0
03695454_0000161768,3
03695737_0000460075,1
03695711_0000432574,1
03695402_0000107046,2
03695509_0000219759,1
03695600_0000315817,0
03695854_0000583558,0
03695903_0000635334,0
03696036_0000775640,1
03695447_0000154333,0
03695712_0000433763,1
03695490_0000199495,1
03695795_0000521244,1
03695768_0000492817,0
03695559_0000272301,1
03695903_0000635271,0
03695477_0000186169,1
03695722_0000444606,0
03695844_0000573107,0
03695461_0000169009,1
03695903_0000635491,0
03695780_0000505581,1
03695989_0000726021,0
03695488_0000197849,0
03695447_0000154546,1
03695701_0000422352,2
03695725_0000447560,0
03695464_0000172006,0
03695488_0000197724,2
03695722_0000444456,1
03695778_0000503333,0
03695709_0000430827,0
